STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        722;18961130;    1;  10.7;   4;  13;-999;eor
        722;18961201;    1;   2.0;   4;  13;-999;eor
        722;18961202;    1;   0.0;   0;  12;-999;eor
        722;18961203;    1;   0.9;   4;  12;-999;eor
        722;18961204;    1;   0.0;   0;  12;-999;eor
        722;18961205;    1;   3.1;   4;  11;-999;eor
        722;18961206;    1;   1.1;   4;  14;-999;eor
        722;18961207;    1;  12.2;   4;  12;-999;eor
        722;18961208;    1;   4.0;   4;  16;-999;eor
        722;18961209;    1;   0.0;   0;  16;-999;eor
        722;18961210;    1;   5.2;   4;  16;-999;eor
        722;18961211;    1;   0.0;   0;  20;-999;eor
        722;18961212;    1;   4.2;   4;  20;-999;eor
        722;18961213;    1;   9.7;   4;  20;-999;eor
        722;18961214;    1;   1.2;   4;  23;-999;eor
        722;18961215;    1;   4.8;   4;  23;-999;eor
        722;18961216;    1;   0.0;   0;  24;-999;eor
        722;18961217;    1;   0.0;   0;  24;-999;eor
        722;18961218;    1;   0.0;   0;  24;-999;eor
        722;18961219;    1;   5.9;   4;  25;-999;eor
        722;18961220;    1;   0.0;   0;  29;-999;eor
        722;18961221;    1;   0.0;   0;  31;-999;eor
        722;18961222;    1;   0.0;   0;  31;-999;eor
        722;18961223;    1;   0.0;   0;  31;-999;eor
        722;18961224;    1;   0.9;   4;  31;-999;eor
        722;18961225;    1;   1.4;   4;  31;-999;eor
        722;18961226;    1;   2.7;   4;  31;-999;eor
        722;18961227;    1;   5.7;   4;  31;-999;eor
        722;18961228;    1;   1.0;   4;  31;-999;eor
        722;18961229;    1;   1.2;   4;  31;-999;eor
        722;18961230;    1;   0.7;   4;  32;-999;eor
        722;18961231;    1;   5.9;   4;  32;-999;eor
        722;18970101;    1;   3.0;   4;  32;-999;eor
        722;18970102;    1;   0.0;   0;  31;-999;eor
        722;18970103;    1;   0.0;   0;  30;-999;eor
        722;18970104;    1;   0.0;   0;  30;-999;eor
        722;18970105;    1;   0.0;   0;  30;-999;eor
        722;18970106;    1;   0.0;   0;  30;-999;eor
        722;18970107;    1;   0.0;   0;  29;-999;eor
        722;18970108;    1;   1.0;   4;  29;-999;eor
        722;18970109;    1;   0.2;   4;  29;-999;eor
        722;18970110;    1;   0.0;   0;  29;-999;eor
        722;18970111;    1;   0.0;   0;  29;-999;eor
        722;18970112;    1;   0.0;   0;  29;-999;eor
        722;18970113;    1;   0.0;   0;  29;-999;eor
        722;18970114;    1;   1.4;   4;  29;-999;eor
        722;18970115;    1;   0.8;   4;  29;-999;eor
        722;18970116;    1;   2.7;   4;  31;-999;eor
        722;18970117;    1;   0.0;   0;  32;-999;eor
        722;18970118;    1;   0.5;   4;  32;-999;eor
        722;18970119;    1;   0.0;   0;  34;-999;eor
        722;18970120;    1;   0.2;   4;  34;-999;eor
        722;18970121;    1;   1.4;   4;  34;-999;eor
        722;18970122;    1;   2.7;   4;  34;-999;eor
        722;18970123;    1;  15.4;   4;  34;-999;eor
        722;18970124;    1;   9.6;   4;  40;-999;eor
        722;18970125;    1;  10.4;   4;  60;-999;eor
        722;18970126;    1;   9.4;   4;  51;-999;eor
        722;18970127;    1;  15.2;   4;  50;-999;eor
        722;18970128;    1;  11.8;   4;  51;-999;eor
        722;18970129;    1;   7.2;   4;  45;-999;eor
        722;18970130;    1;   0.5;   4;  52;-999;eor
        722;18970131;    1;   1.0;   4;  52;-999;eor
        722;18970201;    1;   3.2;   4;  51;-999;eor
        722;18970202;    1;   3.2;   4;  53;-999;eor
        722;18970203;    1;   1.7;   4;  54;-999;eor
        722;18970204;    1;   1.1;   4;  54;-999;eor
        722;18970205;    1;   6.4;   4;  54;-999;eor
        722;18970206;    1;   8.8;   4;  57;-999;eor
        722;18970207;    1;  12.3;   4;  69;-999;eor
        722;18970208;    1;   0.0;   0;  86;-999;eor
        722;18970209;    1;   3.9;   4;  79;-999;eor
        722;18970210;    1;   1.2;   4;  81;-999;eor
        722;18970211;    1;   0.4;   4;  80;-999;eor
        722;18970212;    1;   3.4;   4;  80;-999;eor
        722;18970213;    1;   2.3;   4;  80;-999;eor
        722;18970214;    1;   3.5;   4;  80;-999;eor
        722;18970215;    1;   0.0;   0;  80;-999;eor
        722;18970216;    1;   0.0;   0;  81;-999;eor
        722;18970217;    1;   0.0;   0;  80;-999;eor
        722;18970218;    1;   0.0;   0;  80;-999;eor
        722;18970219;    1;   0.0;   0;  80;-999;eor
        722;18970220;    1;   1.1;   4;  79;-999;eor
        722;18970221;    1;  13.0;   4;  78;-999;eor
        722;18970222;    1;   3.2;   4;  78;-999;eor
        722;18970223;    1;   4.3;   4;  78;-999;eor
        722;18970224;    1;   0.9;   4;  75;-999;eor
        722;18970225;    1;   2.6;   4;  73;-999;eor
        722;18970226;    1;   1.1;   4;  68;-999;eor
        722;18970227;    1;   0.5;   4;  60;-999;eor
        722;18970228;    1;   0.0;   0;  55;-999;eor
        722;18970301;    1;   1.8;   4;  31;-999;eor
        722;18970302;    1;   7.4;   4;  31;-999;eor
        722;18970303;    1;   2.3;   4;  31;-999;eor
        722;18970304;    1;   3.1;   4;  31;-999;eor
        722;18970305;    1;   0.7;   4;  31;-999;eor
        722;18970306;    1;   2.4;   4;  31;-999;eor
        722;18970307;    1;   0.8;   4;  34;-999;eor
        722;18970308;    1;   3.4;   4;  35;-999;eor
        722;18970309;    1;   1.1;   4;  36;-999;eor
        722;18970310;    1;   4.8;   4;  32;-999;eor
        722;18970311;    1;   0.3;   4;  32;-999;eor
        722;18970312;    1;   4.1;   4;  32;-999;eor
        722;18970313;    1;   0.3;   4;  32;-999;eor
        722;18970314;    1;   0.8;   4;  32;-999;eor
        722;18970315;    1;   0.0;   0;  31;-999;eor
        722;18970316;    1;   0.0;   0;  28;-999;eor
        722;18970317;    1;  11.1;   4;  24;-999;eor
        722;18970318;    1;  11.8;   4;  10;-999;eor
        722;18970319;    1;  13.6;   4;   6;-999;eor
        722;18970320;    1;   8.7;   4;   8;-999;eor
        722;18970321;    1;   5.5;   4;  10;-999;eor
        722;18970322;    1;   4.8;   4;  10;-999;eor
        722;18970323;    1;   0.0;   0;   0;-999;eor
        722;18970324;    1;   1.7;   4;   0;-999;eor
        722;18970325;    1;   4.7;   4;   0;-999;eor
        722;18970326;    1;   5.6;   4;   0;-999;eor
        722;18970327;    1;  13.2;   4;   0;-999;eor
        722;18970328;    1;  11.2;   4;   0;-999;eor
        722;18970329;    1;   5.0;   4;   0;-999;eor
        722;18970330;    1;   0.3;   4;   1;-999;eor
        722;18970331;    1;   4.9;   8;   0;-999;eor
        722;18970401;    1;  13.3;   7;   2;-999;eor
        722;18970402;    1;   3.2;   7;   1;-999;eor
        722;18970403;    1;   0.8;   7;   2;-999;eor
        722;18970404;    1;   1.8;   7;   2;-999;eor
        722;18970405;    1;   2.0;   7;   2;-999;eor
        722;18970406;    1;   0.1;   7;   7;-999;eor
        722;18970407;    1;   0.4;   7;   5;-999;eor
        722;18970408;    1;   1.4;   7;   1;-999;eor
        722;18970409;    1;   1.9;   7;   2;-999;eor
        722;18970410;    1;   0.0;   0;   0;-999;eor
        722;18970411;    1;   0.2;   8;   0;-999;eor
        722;18970412;    1;   0.9;   7;   0;-999;eor
        722;18970413;    1;   0.0;   0;   1;-999;eor
        722;18970414;    1;   1.7;   8;   0;-999;eor
        722;18970415;    1;   0.2;   7;   0;-999;eor
        722;18970416;    1;   0.8;   8;   0;-999;eor
        722;18970417;    1;  20.3;   8;   1;-999;eor
        722;18970418;    1;  14.0;   8;   0;-999;eor
        722;18970419;    1;   5.6;   7;   3;-999;eor
        722;18970420;    1;  10.1;   8;   6;-999;eor
        722;18970421;    1;   2.7;   7;   6;-999;eor
        722;18970422;    1;   0.0;   0;  10;-999;eor
        722;18970423;    1;   1.9;   7;  10;-999;eor
        722;18970424;    1;   1.5;   7;  10;-999;eor
        722;18970425;    1;   0.1;   8;  10;-999;eor
        722;18970426;    1;   0.0;   0;   0;-999;eor
        722;18970427;    1;   0.0;   0;   0;-999;eor
        722;18970428;    1;   0.0;   0;   0;-999;eor
        722;18970429;    1;   1.1;   1;   0;-999;eor
        722;18970430;    1;  17.5;   1;   0;-999;eor
        722;18970501;    1;   1.3;   8;   0;-999;eor
        722;18970502;    1;   0.0;   0;   0;-999;eor
        722;18970503;    1;   0.0;   0;   0;-999;eor
        722;18970504;    1;   4.2;   8;   0;-999;eor
        722;18970505;    1;   1.4;   7;   0;-999;eor
        722;18970506;    1;   2.3;   7;   0;-999;eor
        722;18970507;    1;   2.0;   7;   1;-999;eor
        722;18970508;    1;   0.4;   8;   0;-999;eor
        722;18970509;    1;   9.7;   8;   0;-999;eor
        722;18970510;    1;   6.3;   7;   6;-999;eor
        722;18970511;    1;  13.1;   7;  20;-999;eor
        722;18970512;    1;   2.5;   7;  25;-999;eor
        722;18970513;    1;   0.5;   7;  10;-999;eor
        722;18970514;    1;   1.2;   7;   8;-999;eor
        722;18970515;    1;   9.8;   1;   0;-999;eor
        722;18970516;    1;   7.0;   1;   0;-999;eor
        722;18970517;    1;  12.8;   1;   0;-999;eor
        722;18970518;    1;   0.7;   1;   0;-999;eor
        722;18970519;    1;   0.6;   1;   0;-999;eor
        722;18970520;    1;   0.0;   0;   0;-999;eor
        722;18970521;    1;   0.0;   0;   0;-999;eor
        722;18970522;    1;   0.0;   0;   0;-999;eor
        722;18970523;    1;   0.0;   0;   0;-999;eor
